anio,detalle_gasto,pia,pim,certificado,comprometido,devengado,girado,ejecucion_pct_dev_pim,fuente,url,fecha_descarga
2018,SERVICIOS PROFESIONALES Y TECNICOS,46468356.0,48056932.0,47237062.01,46789399.94,46747297.7,46597541.97,97.27,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,SUMINISTROS MEDICOS,1195618.0,755919.0,751121.96,737127.74,737127.74,722935.75,97.51,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,SUMINISTROS PARA MANTENIMIENTO Y REPARACION,432458.0,754190.0,746843.62,742092.63,742092.63,738058.93,98.4,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,"SUMINISTROS PARA USO AGROPECUARIO, FORESTAL Y VETERINARIO",170.0,3692.0,3490.6,3490.6,3490.6,3140.6,94.54,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,VESTUARIOS Y TEXTILES,5357006.0,4316387.0,4242004.95,4223613.35,4223613.35,4183897.95,97.85,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2018,VIAJES,8724409.0,10864909.0,10319978.49,10206058.98,10205579.93,9814048.72,93.93,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2018-Gasto-Devengado.csv,2026-09-08
2019,A OTRAS UNIDADES DEL GOBIERNO,6198380.0,2403684.0,2403681.29,2403680.29,2403680.29,2378412.19,100.0,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,"ADQUISICION DE MAQUINARIAS, EQUIPO Y MOBILIARIO",5232392.0,15910238.0,15371315.14,15309244.5,15266526.59,15266526.59,95.95,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,ADQUISICION DE OTROS ACTIVOS FIJOS,120000.0,672479.0,649729.65,615143.39,615143.39,615143.39,91.47,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,ADQUISICION DE VEHICULOS,1320000.0,1612830.0,1610276.2,1365380.2,1365380.2,1365380.2,84.66,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,AL GOBIERNO LOCAL,85000.0,350695.0,333812.71,333304.83,333304.83,329107.99,95.04,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,AL GOBIERNO NACIONAL,0.0,29532.0,29531.31,29531.31,29531.31,26686.02,100.0,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,ALIMENTOS Y BEBIDAS,1045888.0,1835875.0,1759945.63,1752358.53,1751636.85,1729110.37,95.41,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,ALQUILERES DE MUEBLES E INMUEBLES,1528913.0,3456108.0,3366524.98,3294917.72,3246917.72,3214548.6,93.95,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,ASISTENCIA SOCIAL EN PENSIONES E INDEMNIZACIONES,122321.0,116074.0,116073.66,115977.86,115977.86,115977.86,99.92,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,"COMBUSTIBLES, CARBURANTES, LUBRICANTES Y AFINES",1857591.0,1706294.0,1666061.63,1649310.35,1640712.18,1619350.07,96.16,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,COMPRA DE OTROS BIENES,1042123.0,7904178.0,7694490.11,6746757.83,6746757.83,6599699.19,85.36,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,CONTRATO ADMINISTRATIVO DE SERVICIOS,291187542.0,298578744.0,294692045.86,294507330.26,294498214.96,294245894.04,98.63,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,EDIFICIOS O UNIDADES NO RESIDENCIALES,7857606.0,10434447.0,10418103.15,10418103.15,8951183.52,8951183.52,85.78,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,ENSERES,453069.0,717435.0,666190.99,665573.19,665532.79,653992.49,92.77,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,ENTREGA DE BIENES Y SERVICIOS,39401140.0,34577105.0,33464556.27,33218740.13,33202535.66,33119578.62,96.02,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
2019,GASTOS VARIABLES Y OCASIONALES,7059610.0,8284012.0,8263407.69,8263389.21,8174013.8,8173285.54,98.67,MEF Datos Abiertos – Presupuesto y Ejecución de Gasto (Devengado),https://fs.datosabiertos.mef.gob.pe/datastorefiles/2019-Gasto-Devengado.csv,2026-09-08
